skillIndex,frameIndex,timestamp(s),energyBefore,energyAfter,glow1,glow2,glow3,glow4
0,191,7.815,2,1,0.482,0.554,0.525,0.492
1,240,9.820,1,0,0.813,0.519,0.298,0.280
0,435,17.798,1,0,0.518,0.327,0.370,0.354
